"colostrum","milky fluid secreted for the first day or two after parturition"
"Philippines","an archipelago in the southwestern Pacific including some 7000 islands"
"Cebu","one of the Visayan islands of the central Philippines; important for its fine harbor"
"Luzon","the main island of the Philippines"
"Mindanao","the second largest island of the Philippines at the southern end of the archipelago; mountainous and volcanic"
"Mindoro","a mountainous island in the central Philippines"
"Philippines","a republic on the Philippine Islands; achieved independence from the United States in 1946"
"Manila","the capital and largest city of the Philippines; located on southern Luzon"
"Cebu","an important seaport on the island of Cebu in the Philippines"
"Pinatubo","a volcano on Luzon northwest of Manila; erupted in 1991 after 600 years of dormancy"
"Bisayas","group of islands in the central Philippines"
"Poland","a republic in central Europe; the invasion of Poland by Germany in 1939 started World War II"
"Polska","a republic in central Europe; the invasion of Poland by Germany in 1939 started World War II"
"Warszawa","the capital and largest city of Poland; located in central Poland"
"Warsaw","the capital and largest city of Poland; located in central Poland"
"Bydgoszcz","an industrial city and river port in northern Poland"
"Bromberg","an industrial city and river port in northern Poland"
"Cracow","an industrial city in southern Poland on the Vistula"
"Krakow","an industrial city in southern Poland on the Vistula"
"Krakau","an industrial city in southern Poland on the Vistula"
"Gdansk","a port city of northern Poland near the mouth of the Vistula River on a gulf of the Baltic Sea; a member of the Hanseatic League in the 14th century"
"Danzig","a port city of northern Poland near the mouth of the Vistula River on a gulf of the Baltic Sea; a member of the Hanseatic League in the 14th century"
"Lodz","a large city of central Poland"
"Lublin","an industrial city of eastern Poland"
"Wroclaw","a city in southwestern Poland on the Oder"
"Breslau","a city in southwestern Poland on the Oder"
"Iberia","a peninsula in southwestern Europe"
"Portugal","a republic in southwestern Europe on the Iberian Peninsula; Portuguese explorers and colonists in the 15th and 16th centuries created a vast overseas empire (including Brazil)"
"Azores","islands in the Atlantic Ocean belonging to Portugal; ""the Azores are strategically located on transatlantic air and shipping routes"""
"Acores","islands in the Atlantic Ocean belonging to Portugal; ""the Azores are strategically located on transatlantic air and shipping routes"""
"Braga","an ancient city in northern Portugal"
"Lisbon","capital and largest city and economic and cultural center of Portugal; a major port in western Portugal on Tagus River where it broadens and empties into the Atlantic"
"Lisboa","capital and largest city and economic and cultural center of Portugal; a major port in western Portugal on Tagus River where it broadens and empties into the Atlantic"
"Porto","port city in northwest Portugal; noted for port wine"
"Oporto","port city in northwest Portugal; noted for port wine"
"Setubal","a port city on the Atlantic coast of Portugal southeast of Lisbon"
"Qatar","a peninsula extending northward from the Arabian mainland into the Persian Gulf"
"Katar","a peninsula extending northward from the Arabian mainland into the Persian Gulf"
"Qatar","an Arab country on the peninsula of Qatar; achieved independence from the United Kingdom in 1971; the economy is dominated by oil"
"Katar","an Arab country on the peninsula of Qatar; achieved independence from the United Kingdom in 1971; the economy is dominated by oil"
"Doha","the capital and chief port of Qatar"
"Bida","the capital and chief port of Qatar"
"Basseterre","the capital of Saint Kitts and Nevis on the island of Saint Christopher"
"Nevis","one of the islands of Saint Christopher-Nevis"
"Sombrero","one of the islands of Saint Christopher-Nevis"
"Castries","a port on the island of Saint Lucia; capital and largest city of Saint Lucia"
"Kingstown","the capital of Saint Vincent and the Grenadines; on Saint Vincent"
"Tahiti","an island in the south Pacific; the most important island in French Polynesia; made famous by Robert Louis Stevenson and Paul Gauguin"
"Papeete","the capital of French Polynesia on the northwestern coast of Tahiti"
"Samoa","a group of volcanic islands in the South Pacific midway between Hawaii and Australia; its climate and scenery and Polynesian culture make it a popular tourist stop"
"Samoa","a constitutional monarchy on the western part of the islands of Samoa in the South Pacific"
"Apia","the capital of Western Samoa"
"Principe","an island in the Gulf of Guinea that is part of Sao Tome and Principe"
"Riyadh","joint capital (with Mecca) of Saudi Arabia located in the central oasis; largest city in Saudi Arabia"
"Mecca","joint capital (with Riyadh) of Saudi Arabia; located in western Saudi Arabia; as the birthplace of Muhammad it is the holiest city of Islam"
"Medina","a city in western Saudi Arabia; site of the tomb of Muhammad; the second most holy city of Islam"
"Dharhan","a town in eastern Saudi Arabia on an inlet from the Persian Gulf; in June 1996 terrorists bombed an apartment complex in Dharhan killing 19 United States soldiers and wounding more than 300 people"
"Jeddah","port city in western Saudi Arabia on the Red Sea; near Mecca"
"Jed'dah","port city in western Saudi Arabia on the Red Sea; near Mecca"
"Jiddah","port city in western Saudi Arabia on the Red Sea; near Mecca"
"Jidda","port city in western Saudi Arabia on the Red Sea; near Mecca"
"Tabuk","a city in northwestern Saudi Arabia"
"Taif","a city in western Saudi Arabia east of Mecca"
"Nejd","a central plateau region of the Arabian Peninsula; formely an independent sultanate until 1932 when it united with Hejaz to form the Kingdom of Saudi Arabia"
"Najd","a central plateau region of the Arabian Peninsula; formely an independent sultanate until 1932 when it united with Hejaz to form the Kingdom of Saudi Arabia"
"Hejaz","a coastal region of the western Arabian Peninsula bordering on the Red Sea; includes both Mecca and Medina; formerly an independent kingdom until it united with Nejd to form the Kingdom of Saudi Arabia"
"Hedjaz","a coastal region of the western Arabian Peninsula bordering on the Red Sea; includes both Mecca and Medina; formerly an independent kingdom until it united with Nejd to form the Kingdom of Saudi Arabia"
"Hijaz","a coastal region of the western Arabian Peninsula bordering on the Red Sea; includes both Mecca and Medina; formerly an independent kingdom until it united with Nejd to form the Kingdom of Saudi Arabia"
"Senegal","a republic in northwestern Africa on the coast of the Atlantic; formerly a French colony but achieved independence in 1960"
"Dakar","the capital and chief port and largest city of Senegal"
"Seychelles","a group of about 90 islands in the western Indian Ocean north of Madagascar"
"Seychelles","a republic on the Seychelles islands; achieved independence from the United Kingdom in 1976"
"Victoria","port city and the capital of Seychelles"
"Freetown","port city and the capital and largest city of Sierra Leone"
"Singapore","an island south of the Malay Peninsula"
"Singapore","a country in southeastern Asia on the island of Singapore; achieved independence from Malaysia in 1965"
"Singapore","the capital of Singapore; one of the world''s biggest ports"
"Solomons","the northernmost islands are part of Papua New Guinea; the remainder form an independent state within the British Commonwealth"
"Honiara","national capital of Solomon Islands"
"Somalia","a republic in extreme eastern Africa on the Somali Peninsula; subject to tribal warfare"
"Mogadishu","the capital and largest city of Somalia; a port on the Indian Ocean"
