"venial","warranting only temporal punishment; ""venial sin"""
"finitely","with a finite limit; ""there are finitely many solutions to this problem"""
"boundlessly","without bounds; ""he is infinitely wealthy"""
"immeasurably","without bounds; ""he is infinitely wealthy"""
"infinitely","without bounds; ""he is infinitely wealthy"""
"rigorously","in a rigorous manner; ""he had been trained rigorously by the monks"""
"strictly","in a rigorous manner; ""he had been trained rigorously by the monks"""
"plastically","in a plastic manner; ""he used the clay plastically"""
"boastfully","in a boastful manner; ""he talked big all evening"""
"vauntingly","in a boastful manner; ""he talked big all evening"""
"big","in a boastful manner; ""he talked big all evening"""
"large","in a boastful manner; ""he talked big all evening"""
"big","in a major way; ""the play failed big at the box office"""
"big","on a grand scale; ""think big"""
"small","on a small scale; ""think small"""
"big","extremely well; ""his performance went over big"""
"warily","in a wary manner; ""the sailor watched the sky warily"""
"unwarily","without heed or caution"
"bodily","in bodily form; ""he was translated bodily to heaven"""
"over","throughout a period of time; ""stay over the weekend"""
"o'er","throughout a period of time; ""stay over the weekend"""
"over","at or to a point across intervening space etc.; ""come over and see us some time""; ""over there"""
"over","throughout an area; ""he is known the world over"""
"editorially","by means of an editorial; ""the paper commented editorially on the scandal"""
"abnormally","in an abnormal manner; ""they were behaving abnormally""; ""his blood pressure was abnormally low"""
"angrily","with anger; ""he angrily denied the accusation"""
"exultantly","in an exultant manner; ""it was exultingly easy"""
"exultingly","in an exultant manner; ""it was exultingly easy"""
"sedulously","in a sedulous manner; ""this illusion has been sedulously fostered"""
"tenuously","in a tenuous manner; ""his works tenuously survive in the minds of a few scholars"""
"perennially","in a perennial manner; repeatedly; ""We want to know what is perennially new about the world"""
"perpetually","everlastingly; for all time; ""rays...streaming perpetually from the sun""- Stuart Chase"
"ineptly","with ineptitude; in an incompetent manner; ""he performed his functions ineptly"""
"fecklessly","with ineptitude; in an incompetent manner; ""he performed his functions ineptly"""
"ineptly","in an infelicitous manner; ""this function is ineptly left to a small voice"""
"deliciously","in a very pleasurable manner; ""they were walking along the beach slowly and deliciously"""
"pleasurably","in a very pleasurable manner; ""they were walking along the beach slowly and deliciously"""
"mentally","in your mind; ""he suffered mentally"""
"roundly","in a round manner; ""she was roundly slim"""
"shyly","in a shy or timid or bashful manner; ""he smiled shyly"""
"timidly","in a shy or timid or bashful manner; ""he smiled shyly"""
"bashfully","in a shy or timid or bashful manner; ""he smiled shyly"""
"fondly","with fondness; with love; ""she spoke to her children fondly"""
"lovingly","with fondness; with love; ""she spoke to her children fondly"""
"abed","in bed"
"noisily","with much noise or loud and unpleasant sound; ""he blew his nose noisily"""
"quietly","with little or no sound; ""the class was listening quietly and intently""; ""she was crying quietly"""
"quietly","with little or no activity or no agitation (`quiet'' is a nonstandard variant for `quietly''); ""her hands rested quietly in her lap""; ""the rock star was quietly led out the back door""; ""sit here as quiet as you can"""
"quiet","with little or no activity or no agitation (`quiet'' is a nonstandard variant for `quietly''); ""her hands rested quietly in her lap""; ""the rock star was quietly led out the back door""; ""sit here as quiet as you can"""
"unquietly","with agitation or turbulence"
"unqualifiedly","without qualification or limitation"
"outwardly","in outward appearance; ""outwardly, she appeared composed"""
"inwardly","with respect to private feelings; ""inwardly, she was raging"""
"inside","with respect to private feelings; ""inwardly, she was raging"""
"outwardly","with respect to the outside; ""outwardly, the figure is smooth"""
"externally","with respect to the outside; ""outwardly, the figure is smooth"""
"favorably","showing approval; ""he reviewed the play favorably"""
"favourably","showing approval; ""he reviewed the play favorably"""
"unfavorably","showing disapproval; in a disparaging way; ""he reviewed the play unfavorably"""
"unfavourably","showing disapproval; in a disparaging way; ""he reviewed the play unfavorably"""
"cheerfully","in a cheerful manner; ""he cheerfully agreed to do it"""
"cheerlessly","in an unhappy manner; ""he cheerlessly set out to do the task"""
"flawlessly","in an adroit manner; ""he bounced it cleanly off the wall"""
"cleanly","in an adroit manner; ""he bounced it cleanly off the wall"""
"solidly","with strength and soundness; ""a solidly built house"""
"foursquare","in a square position; ""the building stood foursquare"""
"solidly","as an undiversified whole; ""the unions voted solidly for Roosevelt"""
"laconically","in a dry laconic manner; ""I know that,"" he said dryly"
"dryly","in a dry laconic manner; ""I know that,"" he said dryly"
"obligingly","in accommodation; ""obligingly, he lowered his voice"""
"voluntarily","out of your own free will; ""he voluntarily submitted to the fingerprinting"""
"involuntarily","against your will; ""he was involuntarily held against his will"""
"unerringly","without making errors; ""he unerringly fixed things for us"""
"gloomily","with gloom; ""such a change is gloomily foreseen by many"""
"cruelly","under cruel circumstances; ""a cruelly bitter winter"""
"cruelly","in a cruel manner; ""he treated his students cruelly"""
"vaguely","in a vague way; ""he looked vaguely familiar""; ""he explained it somewhat mistily"""
"mistily","in a vague way; ""he looked vaguely familiar""; ""he explained it somewhat mistily"""
"pompously","in a pompous manner; ""he pompously described his achievements"""
"out","away from home; ""they went out last night"""
"away","from a particular thing or place or position (`forth'' is obsolete); ""ran away from the lion""; ""wanted to get away from there""; ""sent the children away to boarding school""; ""the teacher waved the children away from the dead animal""; ""went off to school"";"
"off","from a particular thing or place or position (`forth'' is obsolete); ""ran away from the lion""; ""wanted to get away from there""; ""sent the children away to boarding school""; ""the teacher waved the children away from the dead animal""; ""went off to school"";"
"forth","from a particular thing or place or position (`forth'' is obsolete); ""ran away from the lion""; ""wanted to get away from there""; ""sent the children away to boarding school""; ""the teacher waved the children away from the dead animal""; ""went off to school"";"
"away","from one''s possession; ""he gave out money to the poor""; ""gave away the tickets"""
"out","from one''s possession; ""he gave out money to the poor""; ""gave away the tickets"""
"aside","in reserve; not for immediate use; ""started setting aside money to buy a car""; ""put something by for her old age""; ""has a nestegg tucked away for a rainy day"""
"away","in reserve; not for immediate use; ""started setting aside money to buy a car""; ""put something by for her old age""; ""has a nestegg tucked away for a rainy day"""
"aside","on or to one side; ""step aside""; ""stood aside to let him pass""; ""threw the book aside""; ""put her sewing aside when he entered"""
"aside","out of the way (especially away from one''s thoughts); ""brush the objections aside""; ""pushed all doubts away"""
"away","out of the way (especially away from one''s thoughts); ""brush the objections aside""; ""pushed all doubts away"""
"aside","placed or kept separate and distinct as for a purpose; ""had a feeling of being set apart""; ""quality sets it apart""; ""a day set aside for relaxing"""
"apart","placed or kept separate and distinct as for a purpose; ""had a feeling of being set apart""; ""quality sets it apart""; ""a day set aside for relaxing"""
